ProductId,Text,Score
B004PEGIJY,"At the time of this review, Zevia Grape is not currently available for purchase on Amazon. I stumbled across the new flavor while shopping at my local WF store. Grape is easily one of Zevia's best varieties. They nailed the taste and you'll love drinking it.",5
B004PEGIJY,"I want to say up front that I hate the taste of stevia. I tried it years ago when it first became the natural sweetener to try. I gagged. I tried it again in its updated ""better"" offerings. Still don't like it. Not even the popular Truvia could win me over.<br /><br />But it's getting to be summer, and though I mostly drink water/coffee/tea/coconut milk, I wanted a nice summery change of taste without calories or sugar or aspartame. So, yeah, I tried this.<br /><br />I decided to check out the grape first, as that one got consistently good reviews in the websites/blogs I visited to see what folks are saying. I got it today.<br /><br />I'm drinking it now WARM (arrived at my Miami doorstep 15 mins ago, so imagine it's not anywhere near cool here). I figured I'd taste it and, if I didn't like it, not bother to have it take up precious space in my crowded-with-produce fridge. I had a worry that my stevia-repulsed tastebuds would yell, yet again.<br /><br />Well, blow me down with a carbonated breath! This is GOOD! So good, I decided to come on and review it positively.<br /><br />I'm guessing the major lifting work of sweetening is being done by the erythritol (which I've had in stuff before and never bothered me, though I did sense the cooling effect). That's fine by me. I don't get weird rumbly tums from erythritol, and it's never had any funky effect on me like some report with aspartame.<br /><br />So, hey, I have a summer soda pop! I'm gonna order a six-pack of various other flavors to see if they measure up. The grape definitely measures up. And I'm even enjoying it WARM. :) I can't wait to see how it is fully chilled.<br /><br />And I appreciate that it doesn't have weird purple coloring. It's a clear fizzy liquid in my cup. I hate weird colored sodas.<br /><br />Thanks, Zevia. Nice grapey treat.",5
B004PEGIJY,If I was a fan of grape soda then I would certainly purchase Zevia grape. It has a nice grape flavor that isn't overly sweet.,4
B004PEGIJY,"CAUTION...DO NOT use ice cubes in any Zevia soda.<br />I am hooked on Zevia sodas because their tastes are not ""heavy."" Each flavored soda seems to have just the right amount of taste. Once you add ice, the taste seems to get watered down.<br />Zevia is my new soda of choice.",4
B004PEGIJY,"I bought these for my husband at WF, because he is supposed to stay away from sugary soft drinks and fruit juices.  We've tried a bunch of sugar free beverages, and this one has been the best. My husband is a meat and potatoes guy who is not interested in any diet-beverages, so getting him to try and then to regularly drink a 0-calorie beverage is a huge deal.  He likes the Zevia and asked me to get more of them - yipeeee!  He is going to be so much healthier, so I'm happy.",5
B004PEGIJY,"I was on the HCG diet at the time that I ordered this product, it takes some getting used to but it is great. This product is great, it works for any diet and my kids love it!!",5
B004PEGIJY,"Grape Zevia is great!  It is my favorite flavor that I have tried....(cream soda, rootbeer, orange, lemon/lime).  It tastes really 'grapey' very close to the grape soda I had as a child.  Love love love it.",5
B004PEGIJY,"I've been a Zevia fan since it came on the market. The grape is the best flavor... it tastes like regular grape soda, not at all diet-like.",5
B004PEGIJY,"I think Zevia rocks period so maybe I am biased but whatever :)<br />This is my favorite flavor they have. Tastes just like regular grape soda minus the 76 grams of sugar/hfcs, artificial flavors and colors. I was honestly a bit shocked as to how good it tasted.<br />Love the fact that it is not purple either, rad.<br />Certified vegan to top it off, can't go wrong.",5
B004PEGIJY,"I love Grape soda and this satisfies my craving without the guilt or worry about sugar or controversial synthetic sugars.<br /><br />In fact, I like almost all Zevia soda. Good stuff!",5
